year,sector1,sector2,value
"1997","com","fbt",0.0444560482469787
"1997","com","ins",0.636024292948186
"1997","com","tex",0.134304157398482
"1997","com","leg",1.20877827239175
"1997","com","fen",0.103162592235526
"1997","com","uti",0.463150198344675
"1997","com","nmp",0.103477378594701
"1997","com","brd",1.59354212294074
"1997","com","bnk",2.91031174994687
"1997","com","ore",0.503484925288719
"1997","com","edu",0.228175369966272
"1997","com","ote",0.155042534028483
"1997","com","man",3.52110946149244
"1997","com","mch",1.32796649623516
"1997","com","dat",0.518891369225866
"1997","com","amd",0.160529269261517
"1997","com","oil",0.651380477896883
"1997","com","hos",1.12250186682556
"1997","com","rnt",0.159704005615902
"1997","com","pla",0.332480538534197
"1997","com","fof",0.0428666106004268
"1997","com","fin",0.248561426977297
"1997","com","tsv",3.47154062807704
