"yr","Dim2","Val"
"2000","NY",803.566047569618
"2000","OR",109.150919200015
"2000","ND",19.6163774453528
"2000","SC",120.77695981871
"2000","ID",37.1362442343327
"2000","NJ",349.228068527882
"2000","UT",71.5394316183692
"2000","MT",21.9978015636917
"2000","DC",78.2323349780472
"2000","PA",393.2423923987
"2000","WY",17.018350984125
"2000","CO",191.198964706619
"2001","IA",88.8400563660347
"2001","FL",522.137931936573
"2001","MD",228.486911564815
"2001","OH",383.944211857749
"2001","TN",180.344084817357
"2001","WI",174.96333690501
"2001","RI",41.9816845165949
"2001","AK",33.6933603589602
"2001","WV",41.6392475654359
"2001","AZ",173.309572381545
"2001","NH",51.0175488076297
"2001","OK",99.2166097044234
"2001","NE",58.5206797567899
"2001","KY",123.592732142367
"2001","NM",65.3853477292414
