year,region,hh,value
"2015","OR","hh5",58.3624619426545
"2015","ND","hh1",0.97820113590262
"2015","ND","hh2",2.67486600891225
"2015","ND","hh3",3.84875552630788
"2015","ND","hh4",5.63400502163918
"2015","ND","hh5",17.7252608276383
"2015","SC","hh1",7.86149977164774
"2015","SC","hh2",16.7167529011662
"2015","SC","hh3",21.4881754667675
"2015","SC","hh4",43.9818921362039
"2015","SC","hh5",52.7741734313162
"2015","ID","hh1",2.27201660600616
"2015","ID","hh2",6.83158136717899
"2015","ID","hh3",7.85424177130289
"2015","ID","hh4",7.53367848735296
"2015","ID","hh5",25.4084027650781
"2015","NJ","hh1",9.59359550051432
"2015","NJ","hh2",23.7220026133447
"2015","NJ","hh3",31.6211139080356
"2015","NJ","hh4",109.525670905737
"2015","NJ","hh5",221.337174441764
"2015","UT","hh1",2.39324731625812
"2015","UT","hh2",8.83510536283228
"2015","UT","hh3",12.2633631715081
"2015","UT","hh4",26.9497562048965
"2015","UT","hh5",40.5810244503715
"2015","MT","hh1",1.61605424391822
"2015","MT","hh2",4.07592397676863
"2015","MT","hh3",4.14427382505951
"2015","MT","hh4",5.43402556527073
"2015","MT","hh5",20.5821852798613
"2015","DC","hh1",0.799824071606276
"2015","DC","hh2",1.9775174708422
"2015","DC","hh3",2.34281312739349
"2015","DC","hh4",3.85769179097077
"2015","DC","hh5",31.9374895459975
"2015","PA","hh1",16.4393609462378
"2015","PA","hh2",43.2234186803592
"2015","PA","hh3",44.8099209795144
"2015","PA","hh4",146.489817076909
"2015","PA","hh5",220.811123390354
"2015","WY","hh1",0.613995183940617
"2015","WY","hh2",1.9936110374006
"2015","WY","hh3",2.89636909140213
"2015","WY","hh4",3.20718790805227
"2015","WY","hh5",12.1974055232799
"2015","CO","hh1",6.15676022808235
"2015","CO","hh2",18.1904637348214
"2015","CO","hh3",23.2229424759284
"2015","CO","hh4",58.294271122113
"2015","CO","hh5",97.9660705692307
"2016","IA","hh1",3.03600762668244
"2016","IA","hh2",11.2065686284367
"2016","IA","hh3",12.4481138675273
"2016","IA","hh4",31.7853741776045
"2016","IA","hh5",43.2702530878535
"2016","FL","hh1",35.0368130923986
"2016","FL","hh2",88.4720507861614
"2016","FL","hh3",93.1034784427872
"2016","FL","hh4",210.460829781717
"2016","FL","hh5",318.971001735172
"2016","MD","hh1",5.25120398723788
"2016","MD","hh2",15.115789517127
"2016","MD","hh3",21.4655604399355
"2016","MD","hh4",56.0175818338669
"2016","MD","hh5",147.508257398636
"2016","OH","hh1",14.6286718474609
"2016","OH","hh2",46.8515723466753
"2016","OH","hh3",45.7968466947113
"2016","OH","hh4",122.771657054009
"2016","OH","hh5",175.460655995036
"2016","TN","hh1",9.20074484035957
"2016","TN","hh2",24.6383413724544
"2016","TN","hh3",29.3324194719806
"2016","TN","hh4",53.8676412030633
"2016","TN","hh5",85.1615303188764
"2016","WI","hh1",6.11005250436142
"2016","WI","hh2",18.9720025207651
"2016","WI","hh3",21.7048124303569
"2016","WI","hh4",72.682137508279
"2016","WI","hh5",82.55935366821
"2016","RI","hh1",1.15197156133069
"2016","RI","hh2",3.46666153118908
"2016","RI","hh3",4.02790655027563
"2016","RI","hh4",4.98396928444959
"2016","RI","hh5",27.3372740136996
"2016","AK","hh1",0.621628607952779
